Country,pop
Angola,28813463
Burundi,10524117
Benin,10872298
Burkina Faso,18646433
Botswana,2250260
Central African Rep.,4594621
Côte d'Ivoire,23695919
Cameroon,23439189
Democratic Republic of the Congo,78736153
Republic of Congo,5125821
Comoros,795601
Cape Verde,539560
Djibouti,942333
Algeria,40606052
Egypt,95688681
Eritrea,1397490
Ethiopia,102403196
Gabon,1979786
Ghana,28206728
Guinea,12395924
Gambia,2038501
Guinea-Bissau,1815698
Eq. Guinea,1221490
Kenya,48461567
Liberia,4613823
Libya,6293253
Lesotho,2203821
Morocco,35276786
Madagascar,24894551
Mali,17994837
Mozambique,28829476
Mauritania,4301018
Mauritius,1263473
Malawi,18091575
Namibia,2479713
Niger,20672987
Nigeria,185989640
Rwanda,11917508
Sudan,39578828
Senegal,15411614
Sierra Leone,7396190
Somalia,14317996
South Sudan,12230730
Sao Tome and Principe,199910
Eswatini,1343098
Seychelles,94677
Chad,14452543
Togo,7606374
Tunisia,11403248
Tanzania,55572201
Uganda,41487965
South Africa,56015473
Zambia,16591390
Zimbabwe,16150362
